sentence,sentiment
ایسی پیسہ اکاؤنٹ پر برگر اور پینے کا آرڈر کیسے حاصل کریں,neu
ارے نائک ، مجھے برازیل کی خواتین کے فٹ بال جرسی کہاں مل سکتی ہے,neu
معذرت کے ساتھ کہنا ہے لیکن پاکستان میں فیصل بینک بدترین بینک ہے,neg
اچھی پوشاک,pos
زیادہ قیمت والے برانڈ!,neg
اس بارے میں کیا ہے کہ ہم S9 پلس خریدتے ہیں اور اس ٹی وی کی تعریف کرتے ہیں,neu
تو بی خوبصورت اس کو چھپائیں یا اطلاع دیں,pos
زبردست. بس اس پیش کش کو زیادہ دن تک نہ چلائیں ، یا آپ دیوالیہ ہوجائیں گے!,pos
تم.لوگ جھوٹ بول رہئی ہو مکمل پہیلی کو ڈائی تا نہیں ہو,neg
مجھے 7 مختلف دوستوں سے رقم ملی ہے جاز کیش درخواست کے ذریعے,neu
کھانے اور سامان کے الاؤنس سے امارات بہتر ہے,pos
ساہولت بالوں کے بعد پوسٹ کیا ہوا؟,neu
کیا کالی جمعہ کے لئے کوئی فروخت ہے؟,neu
اچھا ذائقہ نہیں ہے,neg
کیا آپ مجھے برا بتا سکتے ہیں؟,neu
میں اپنی دہلیز پر ترسیل کیسے حاصل کرسکتا ہوں؟,neu
اس بچے کی جیکٹ کیلئے لنک شیئر کریں,neu
میرے نزدیک جانی راکٹ 3 گھنٹے کی ڈرائیو ہے,neu
بہت پیارے عزیز,pos
ناقص کاسٹیومر سروس اور ناقص آن لائن شاپنگ PAID کے آرڈرز کی فراہمی نہیں ہو سکی ہے اور قیمتی خدمات مدد نہیں کررہی ہیں,neg
ہمارے کارکنوں کے پاس مناسب پی پی ای نہیں ہے ان کے پاؤں دیکھو کوئی اسٹیل پیر کے جوتے نہیں.,neg
لیکن جیسا کہ بیٹری طویل عرصے سے کہی جاتی ہے یہ زیادہ لمبی نہیں رہتی ہے اور اس کے ساتھ ساتھ فون کی بیٹری استعمال کیے بغیر کوڑا کرکٹ فون اترتا رہتا ہے,neg
اچھی تصویر ، جگہ کا نام بھی ذکر کریں شکریہ.,pos
بھار ما جاو,neg
کیا سپر ہفتہ وار پلس آفر پر کوئی رعایت ہے؟,neu
Pkg اچھے ہے magar سگنل کا نتیجہ صفر ہے ...,neg
انسانی گلیشیر,neu
شکریہ زونگ 4 جی پاکستان نمبر 1 کا ڈیٹا نیٹ ورک ہے جس پر مجھے فخر زونگ 4 جی ہے,pos
نہیں ، موت کی سزا نہیں دی,neg
5G سروس کھولنے میں آپ کو کتنا وقت لگتا ہے؟,neu
فی الحال کپڑوں کی قسطیں,neg
میں اس کا بہتر ڈیزائن کرسکتا ہوں,neu
میرے پرنٹر کے لئے کسٹمر کی خدمت نہیں ہے!,neu
پرانے اسکول کانگو کی طرح لگتا ہے کہ بھائیوں نے 80 کی دہائی میں پہنا تھا اچھا نہیں,neg
اپ ڈیٹ کیری بہت بری میں اضافہ کر سکتا ہے,neg
تو ہم اب آڈی لیز پر دے سکتے ہیں,neu
ماڈل فرح شاہ کی طرح دکھائی دیتی ہے,pos
جامنی پس منظر اور سیاہ گھوڑا اسے پسند نہیں کرتا ہے,neg
این ایس ڈبلیو پیپ کی اب کوئی غذا نہیں ہے,neu
تھینکو نے 8 سوٹ خریدے,neu
ہمارے لباس آپ کے لباس میں بھڑک اٹھنا چاہتے ہیں,neu
کولٹس کے خلاف پکنٹو کی بہترین کوالٹی اور انتہائی ہموار ڈرائیو,pos
بیکر ریستوراں اک ڈیم توبہ کب نا کھو مجھے تو ہے کا اب خانہ ....,neg
براہ کرم مجھے HBL ڈیجیٹل بینکنگ کے ذریعہ بینک کے دوسرے لین دین سے متعلق چارجز کی تفصیل دیتے ہیں,neu
سرد سخت بسکٹ! ضرورت سے زیادہ قیمت!,neg
یہ کس طرح کی ویڈیو ہے؟ اسے حذف کریں,neg
ایڈمز فیملی ...,neu
جے ہمیشہ ہمارے دلوں میں ہے,pos
نیا سکی گیئر,neu
یہ نیسلے ایک غیر قانونی کمپنی ہے جس میں اربوں ڈالر کے منافع کے لئے کوشاں ہیں ،,neg
واہ اتنا لذیذ سوادج,pos
میں آپ کو کم خوش نصیب بچوں کے ساتھ اس دن کو منانے کا انتخاب کرنے کا شکریہ ادا کرتا ہوں,pos
مبارک ہو میرے پسندیدہ نیٹ ورک زونگ انشاء اللہ آپ سب میں پہلے نمبر پر ہوجائیں گے,pos
جمعہ کی دکان کا ٹائمنگ,pos
بہت خراب جاز نقد,neg
بہت کلورو ... کلوروفل,neu
چونکہ ہدف پر یہ تینوں طریقے واضح ہیں لیکن 2 تیز راہ ہے,neu
میں نے فروری میں اپنے پیالا واپس کرنے کا حکم دیا تھا اور اسے کبھی نہیں ملا,neg
اچھی پیش کش,pos
اہم اور قابل احترام,pos
میں اب اڈیڈاس کا مداح ہوں نائک ، تم بہت دور جاچکے ہو!,neg
ہمیشہ پیزا کے بارے میں سوچتا رہا,pos
9 وکٹ نیچے,neu
برائے کرم اپنی خدمت کو بہتر بنائیں,neg
نشاط میرا پسندیدہ برانڈ,pos
لاجواب ایوارڈ شو,pos
باقی 37٪ سنگل ہیں,neu
اگر کرز لینا ہو تو کیا رول وہ,neu
لباس پارٹی,neu
ہم آپ سے گزارش کرتے ہیں کہ آپ میرا پسندیدہ سن سنک شیمپو ریفئلز میں بیچنا شروع کریں,neu
جعلی رس اصلی نہیں ہے,neg
ہمیں یہ پڑھ کر خوشی ہوئی ہے,pos
تو مایوس ہوئے پہلے کھیل کا کھیل اور پھر اس چھوٹی چیز کو اضافی قیمت والے کھانے کے ساتھ حاصل کریں,neg
مجھے طریقہ کار بتاؤ,pos
اس میں میرا معیاری کھانا ختم ہوگیا تھا اور مجھے کھانا خریدنا پڑا,neu
میں ٹرانسفارمر چاہتا ہوں لیکن یہ دستیاب نہیں ہے,neg
آج ایک تھا ، بہت اچھا ہے,pos
افسوسناک فروخت ....,neg
کیا آپ مجھے فوری طور پر ہیلپ لائن یا رابطہ نمبر بھیج سکتے ہیں؟,neu
بلا سود یا سود کے ساتھ؟,neu
بہت برا میں نے دو برگر جیت لئے لیکن جب میں دوسرا دعوی کرتا ہوں تو میں بھی پہلا ہار گیا,neg
برائے کرم براہ کرم قیمتوں کا ذکر کریں,neu
عادل ڈرامہ نا کیر آدھی آئس کریم کھا کیر کیا یون انکو بد نام کیر راہی ہے,neg
اس سے بہت پیار ہے ، ، لیکن بہت اداس مجھے برداشت کرنے کے متحمل نہیں ہوسکتا ہے,neu
کسی بھی فروخت یا پروموشنل سرگرمی کا اعلان کیا جائے گا,neu
مزید یہ کہ ہم آپ کے آرڈر کو مماثل اشیاء کے ساتھ رکھنے کے لئے صرف ایک متن کے فاصلے پر ہیں,pos
اس سے محبت کرو (لاتعداد اور اس سے آگے),pos
مجھے اس مہینے میں صرف 25 نقد رقم ملی,neu
عظیم پیش کش یسیپائسا نمبر ایک,pos
امارات نے گلاسگو سے سڈنی جانے کے لئے ہمارے خاندانی سفر کو تباہ کردیا,neg
بیکار ایپ میں نے اسے انسٹال نہیں کیا,neg
یونی لیور جیسے یہ برانڈز جنگلات برباد کرنے والی کمپنیوں سے کھجور کی خریداری روکنے کے اپنے وعدے کو پورا کرنے میں ناکام رہے ہیں  - تبصرہ؟,neu
یہ سرگودھا میکڈونلڈ میں نہیں ہے,neg
میں اب بھی ملٹی پوکیٹ کا انتظار کر رہا ہوں,neu
فیصل آباد والوں کے ساتھ بے تکلفی اور برے سلوک,neg
کوئی مجھے بتا سکتا ہے کہ جازکیش کی حد کو کیسے بڑھایا جائے؟,neu
اوپو A3s 4200 بیٹری تمام مضبوط ہے جبکہ سیمسنگ A30 4000 بیٹری بہت کمزور ہے,neg
جب آپ مرجائیں تو انہیں اپنے ساتھ نہیں لے سکتے ، صرف 30 ڈالر کی گھڑی خریدیں,neg
بیچ میں آدمی اچھی لگتی نہیں ہے,neg
میرے پاس ابھی خوبصورت ڈیزائن ہیں,pos
ہم کتنی بار کھیل سکتے ہیں ..,neu
یہ کہنا افسوسناک ہے کہ ایچ بی ایل خدمات اچھی نہیں ہیں,neg
اچھا جا رہا سیالکوٹ,pos
دبئی سے کبول تک کتنا ہے؟,neu
آپ لوگ بہترین خدمات مہیا کررہے ہیں,pos
میرا بیلنس واپس آگیا,neu
واہ زبردست حیرت انگیز مقابلہ,pos
براہ کرم اس آئٹم کا لنک ان باکس میں داخل کریں,neu
آج کل کون اس کا متحمل ہوسکتا ہے ایک دن میں 1 گاہک,neu
خوبصورت پرنٹ,pos
نائکی سی اب کبھی نہیں لوگا,neg
لیس ک کافی ذائقہ ہے جو ہماری ایریا میں کبی نہیں ملٹی,neg
نیسلے کی تیاری میں ملین کے بارے میں کیا ہے؟,neu
کون سا ایک 12x36 انچ کا بہترین پرنٹر ہے؟,neu
منافع کٹنا,neu
میں اور میرے شوہر وہاں کم از کم ہفتے میں ایک بار کھانا کھاتے ہیں کبھی کبھی ہفتے میں دو بار مورگن ٹاؤن ڈبلیو وی میں ایک بہت اچھا ہے کہ ان کے پاس اچھا کھانا اور زبردست خدمت ہے,pos
"آپ قیمت کے ساتھ ""صرف"" لکھنا بھول گئے ہیں",neu
میں فیصل بینک پلاٹینم کارڈ ہولڈر ہوں,neu
میک فلوری کارنیٹو چاکلیٹ واپس لائیں,neu
لیکن ہم میک فلوری کارنیٹو کو واپس چاہتے ہیں,pos
ہمارے علاقے میں بہت بری خدمت ہے,neg
مجھے یقین نہیں ہے آپ کے فرائز صرف خراب ہو رہے ہیں کیا آپ کی طرف سے کوئی بھی آپ کی شاخوں کا خیال رکھتا ہے؟,neg
یار اب میں خوش کھانا نہیں کھاتا ہوں,neg
کیا یہ NZ میں فروخت پر ہیں؟,neu
میرے گانے میں پہلے سے ہی ایک ریپ طبقہ موجود ہے ، کیا میں آڈیو بھیج سکتا ہوں؟,neu
آمنہ حسن خان کیا دات ur این حسن بھائی کا فرڈ بدر ہے؟,neu
آخر کچھ اچھی بات میک ڈونلڈز کے پاس آ رہی ہے,pos
ہمارے علاقے میں بہت سست جال ... اس کے بعد 2G سے بھی کم,neg
میرا ہر وقت Fav مرغی,pos
نیا مونوگرام آنے والا ہے,neu
اس جیکٹ plz کی قیمت؟,neu
کاسمیٹکس دستیاب نہیں ہیں ..,neg
بہترین نیٹ ورک زونگ 4G,pos
وہ خوش نظر نہیں آرہی ہے,neg
ہفتہ کا منظر btao,neu
ذائقہ کا نام؟,neu
نقصان کو روکنے کے لئے مضحکہ خیز کوشش کے گرد مذموم مارکیٹنگ کا پیغام ، یونیلیور کرتا رہے گا,neu
ہم نے بھی اپنے قیمتی صارفین کے لئے اچھ .ے رنگ متعارف کروائے,neu
سم جاز پے کنورٹ کر برا ہے,neg
یہاں تک کہ میرا 3 سالہ بیٹا بھی اسے زیادہ خوبصورت بنا سکتا ہے,pos
آدھا سفید لباس بہت خوبصورت ہے,pos
کیا ہم مستقبل کی تازہ کاری میں عارضی کریڈٹ کارڈ بین الاقوامی آپشن سے فائدہ اٹھا سکتے ہیں؟,neu
مجھے یہ پسند ہے! بہت حیرت انگیز,pos
مارٹن گیرکس کے ساتھ ڈیوڈورنٹ ایک بہت ہی عمدہ اقدام تھا جس نے آپ کے برانڈ کو جوڑا,neu
اپنے صارفین کا احترام کریں,neg
اس کی اچھال کو پارک کریں,neu
خوبصورت لباس اور اچھی فروخت,pos
نقلی لوگ,neg
کیا ان کے پاس ابھی بھی سٹرڈ ناشتہ سینڈویچ ہے وہ چیز اچھی تھی,pos
اشتہار بہت اچھا ہے ٹی,pos
ڈنگاری کی قیمت کیا ہے؟,neu
ہم آپ کو تحریری طور پر وقت نکالنے کی تعریف کرتے ہیں,pos
زندگی کو تبدیل کرنے والی عظیم زندگی!,pos
کوئی الفاظ نہیں,neu
خوب ہوا قطر ایئرویز,pos
عادل ڈرامہ نا کیر آدھی آئس کریم کھا کیر کیا یون انکو بد نام کیر راہی ہے,neg
میا اس میں خوبصورت نظر آئے گی,pos
بیکار قابل رحم کبھی بھی کام نہیں کرتے ہیں اس پر ریلے مت لگائیں,neg
مجھے HBL پسند ہے,pos
ASH ایک بہترین پلیئر ہے ... پاکستانی ہونے پر فخر ہے ..,pos
دیانت سے؟ کچھ بدترین کھانا ، اور نہ صرف ناشتہ,neg
بہت اچھا مجموعہ,pos
..میری فیملی اور بہت سارے جنات جو باہر کھڑے تھے آرام کریں,neu
لذت عروج پر ہے !!!,pos
دل کا دورہ,neg
فینسی ڈریس پارٹیاں ہمیشہ ہنستی رہتی ہیں,neu
ترقی یافتہ شخصیت اور خوبصورت خوبصورتی ہی ہمارا مقصد ہے,pos
اپنے لوگو کا رنگ تبدیل کریں,neu
بہت بہترین نیٹ ورک,pos
فلائے دبئی کا کرایا بہت زیادہ ہا,neg
.میں سمندری طوفان کا چیلنج تھا ، لیکن فریکس اور برگر کے ساتھ باقی ہلا ہلا گھر لے گیا,neu
یک بہترین نیٹ ورک زونگ 4G,pos
اچھی اداکاری والی ایک اچھی فلم جس میں تمام اداکار شامل ہیں,pos
میرے آرڈر کا کیا ہوگا؟,neu
صرف فلوریڈا میں ، تمام مقامات کی فلوریڈا؟,neu
کیا ایسا ہی XXI صدی کے مردوں کی طرح ہونا چاہئے؟ خوفناک! مجھے افسوس ہے کہ ماڈلز نے اسے پہن رکھا ہے,neg
فیصل آباد میں کوئی مختلف قسم کے اسٹور,neg
گچی کرسمس کا بہترین فیشن ہے,pos
جناب ہم زونگ خدمات چاہتے ہیں لیکن ہمارے گاؤں میں کوئی سگنل نہیں ہے,neu
نمائندہ جلد ہی شکریہ,pos
مجھے ایچ پی سیکیورٹی کہاں مل سکتی ہے میں ملازمت کی تلاش کر رہا ہوں براہ کرم ڈس نمبر 0609013688 پر مجھ سے رابطہ کریں,neu
ہنی بٹر اسٹیک بسکٹ میری تازہ ترین پسندیدہ ہے!,pos
میں شیئر کرنا پسند نہیں کرتا ..,neg
مچھلی برگر کی قیمت؟,neu
میں اسے 4 جی پر کس طرح تبدیل کرسکتا ہوں ، براہ کرم میری مدد کریں,neu
مجھے تو ترکی برگر کی کمی محسوس ہوتی ہے,pos
آپ ڈول مین مال کلفٹن میں واقع ہیں,neu
نینڈوس کا دوسرا نام آسام کو لوٹ لو ہے,neg
میں ملٹی پوکٹ ایکسیسیئر کی تلاش کر رہا ہوں,neu
ماشاء اللہ اچھی تصاویر,pos
ہمارے علاقے میں بہت بری 4 جی سروس بھی یوفون کی 3G اسپیڈ اچھی ہے,neg
کیا بہادر جوان ہے,pos
اہم ہاتھیوں کے رہائش گاہ اور آخری بقیہ اورنگوتین اور شیروں اور گینڈوں اور متعدد دیگر اقسام کے مکانات کی تباہی,neg
سہیل تنویر 1 اور محمد عرفان 3 وکٹ,neu
مجھے اپنے آرڈر کے دوران مسلسل غلطی کا سامنا کرنا پڑ رہا ہے,neg
پھر بھی بکواس .. میرا مسئلہ ابھی حل نہیں ہوا ہے,neg
آج صبح میرا نہیں ملا,neu
ہام اور پنیر بہترین ہیں,pos
ہم بیرون ملک مقیم ایک جوڑا یا قمیض نہیں پاسکتے ہیں,neg
اس گھڑی کی قیمت کتنی ہے؟,neu
ناقص اور کم سگنل کی طاقت,neg
جب آپ ایبٹ آباد میں اپنا دکان کھولیں,neu
میں اس برگر کو واپس مینو پر دیکھ کر بہت پرجوش ہوں,pos
پہلے گیم کھیلو اورپھر یہ چھوٹی چیز اضافی ویلیو والے کھانے سے حاصل کرو,neu
میں واقعتا اپ سیٹ پریشان ہوں انٹرنیٹ پر کوئی ہمت ہر وقت ناراض نہیں ہے لنک جھوٹا,neg
مجھے بتائیں کہ کیا آپ کو اپنی یونیورسٹی میں کسی نے اس طرح کا لباس پہنا ہوا پایا ہے,neu
اگر آپ واقعی میں آب و ہوا کی تبدیلی لانا چاہتے ہیں تو پام آئل کا استعمال بند کردیں,neg
آپ کا نیٹ ورک بہت ہی اچھا ہے,pos
لڑکی کو ایسا لگتا ہے جیسے اسے کسی بدروح کا شکار ہو,neu
مجھے کتنا اچھا ڈیزائن ہے,pos
مجھے پرانا لوگو پسند آیا,pos
اگر فروخت ہو تو میں 4 کپڑے خریدوں گا,pos
برائے مہربانی اپنے رابطہ اور اسٹور کی تفصیلات شیئر کریں,neu
میرے آلہ گوم ہوگئی ہے تو دوبرا ووہی نمبر نکلوہ جا سکا ہے؟,neu
چھوٹا ہوا ذائقہ,neu
لیکن آپ نے معیار کو بہت کم کیا,neg
سلام سویڈن سے,pos
جاز نقد سے کسٹمر کا تعاون دستیاب نہیں ہے,neg
ایپل پائی کو ہر جگہ گرم پر پیش کیا جاتا ہے لیکن پاکستان میں نہیں,neg
او ایس ٹائم ہمم لنکا نے ٹاس جیتا,pos
برائے مہربانی مجھے کیبن کے عملے کی عمر کی حد کے بارے میں بتائیں؟,neu
ابھی تک ویب سائٹ پر کچھ نہیں ہے,neu
زندگی نیسلے کی خصوصیات کا ذائقہ,pos
یہ ٹائپنگ والے موبائل سے بھی کر سکتے ہے یا آنلی جازکاش آپ سے ؟,neu
ووٹن میرا زہر,neu
یہ ایک پرانا ہوسکتا ہے جیسے اس کی شکل زیادہ ٹھنڈی ہے,neg
ارے آپ اپنا اسٹوڈیو لانچ کر سکتے ہیں جیسے کوکیسٹیو 😃 بہترین گانا,pos
وہ 12 سالہ لڑکا خواتین کا لباس پہنے ہوئے کیوں ہے؟,neu
مجھے 99 the ٹکڑے پسند نہیں ہیں,neg
شاہین ایئر لائن کے ساتھ مجھے 4 سال کا تجربہ ہے .. اچھی یادیں,pos
سیمسنگ کی تاریخ کا بدترین موبائل J4,neg
ایسے بینکاری چالوں میں آپ کیسے گر پڑے!,neg
پیپسی جسم کے لئے اچھا ہے پی او پیسی لے لو,pos
ہم امید کرتے ہیں کہ آپ کامیاب ہوں گے,pos
کیا پوری طرح سے اے ٹی ایم کارڈ کو واپس لینے (رقم) پر کوئی الزامات ہیں؟,neu
یہ خوبصورت لیکن بہت ہی مہنگا ہے ... زارا کیا ہوا ؟؟,pos
میرا خواب نائکی کے جوتے پہننا ہے,pos
گیسٹ موڈ آن / آف کرنے کے لئے ایپ میں ایک خصوصیت ہونی چاہئے,neu
کیا دنیا میں اور میرے لئے بہترین اڑان ہے؟,neu
مجھے جے سیریز کے ساتھ بدترین تجربہ ہے,neg
نائیک پیئ سیل لاگیٹی ہا,neu
یار تم ہمکو بھُل گائے بھائی ، جیس دن میرا بند تھا آپ گلاب جمون بھی تبھی لائے ید کرو,pos
یہ میرا پسندیدہ برانڈ ہے,pos
بہت اچھا ہوگا اگر HP واقعی میں اپنے صارفین کو بلا کر ان کی ضمانتوں کا احترام کرے,pos
آپ کو کافی کے بارے میں کیا زیادہ پسند ہے؟,neu
زارا سے آن لائن آرڈر نہ کریں کیونکہ وہ فراہمی کے ذمہ دار نہیں ہوں گے,neg
انتھا فازول ترین ترین پیزا,pos
میں نے دو لڑکوں کو کرٹائے کو آن لائن آرڈر کیا,neu
بہت سارے لوگوں کو دکانوں سے خریداری کرنا پسند ہوگی,pos
کیا اس پیش کش سے صرف ایک بار ایک کریڈٹ کارڈ یا ایک سے زیادہ بار فائدہ اٹھایا جاسکتا ہے؟,neu
اب تک کی بہترین ایئر لائن,pos
آن لائن نمبر کس طرح بک کروائیں؟,neu
براہ کرم سرگودھا میں نیلم لائیں,pos
ہم عمرہ سے سعودیہ عربیہ جا رہے تھے,neu
یہ سن کر بہت خوشی ہوئی!,pos
مجھے نیا اکاؤنٹ fbl چاہئے,neu
آپ سے محبت کرتا ہوں زونگ,pos
جیکٹس فروخت کردی جاتی ہیں,neu
سیمسنگ براہ کرم قیمت میں کمی کریں A50 40k اور A30 30k پر ہونا چاہئے بصورت دیگر ہواوے پاکستانی عوام کے لئے اچھا آپشن ہے,neg
جاز تمام پاکستانیوں کے لئے ہمیشہ موجود رہتا ہے,pos
میں نے نائکی کے جوتے سے پہلے 2 ماہ کے لئے نیا بیلنس بوٹ کا ایک جوڑا خریدا,neu
مجھے ایک ضرورت ہے,neu
سب سے خراب غریب نیٹ ورک,neg
ان کے خیال میں زارا ماڈل کو زیادہ حقیقت پسندانہ شخصیت رکھنے کی ضرورت ہے جو وہ جلد اور ہڈی کی حیثیت رکھتے ہیں,neu
انہوں نے کیتھ کو اچھی طرح سے تربیت دی ہے,neu
مشاللہ! ایک سال کے اندر کتنی بدلاؤ والی کہانی اور اس طرح کی اہم کاوشیں ہیں,pos
کیا ہم آسان پیسہ اور ٹیلی نار کی خدمات استعمال کرنا چھوڑ دیتے ہیں؟,neu
بری صحبت. وہ چوری کرتے ہیں اور رسیدیں کھو دیتے ہیں اور نہیں دیکھیں گے,neg
اتوار کو بھی ہے ، ، ، ، ، ، ، ، اب وقت ختم ہوا ہے؟,neu
لیکن میں نے پیکیجز مال کے آؤٹ لیٹ کا دورہ کیا,neu
یہ کس تاریخ تک دستیاب ہے؟,neu
کچھ بدترین کسٹمر سروس جو میں نے کبھی پوری کی ہے ریٹرن لیبل کے لئے 2 درخواستوں کے بعد مجھے بتایا گیا کہ مجھے کچھ واپس کرنے میں دیر ہوچکی ہے,neg
جاز کیش کا لین دین ہوا,neu
بہت سوادج کرنے کے لئے. ٹکر ڈرنک کے ساتھ اتنا سوادج,pos
ایپ پر میرے ساتھ جاز کیش کا کوئی تبادلہ کریں ، براہ کرم نمبر یا ایس ایم ایس ان باکس بھیجیں,neu
جاز ورلڈ ڈیفالٹر ایپ ہے,pos
موبائل میں نقصان یا نقصان کی صورت میں انشورنس کو کیسے چھڑایا جائے؟,neu
واجد عابد یہ 4ک کس بات کے مل رہے ؟,neu
میں استعمال کرتا ہوں بہت اچھا نیٹ ورک,pos
46000 ٹیکس نیا کے ساتھ پاکستان بھی اتنا خراب ہے,neg
مجھے آپ کے تجربے کے بارے میں سن کر افسوس ہوا,neu
میں نے کالے خریدے لیکن فروخت کے بغیر,neu
جن ک دل جیٹی وو سب کھرب ہو گیئے,neg
میں نے اسے جاز سنٹر سے لیا ہے اور میں اسے ایک انلاک زونگ ڈیوائس میں استعمال کر رہا تھا,neu
جرمن معیار کے ساتھ پیشہ ور ٹیم سے کامل ملازمت,pos
کچھ نیا ڈیزائن پرانا بلڈشٹ دیں,neg
وزیرآباد میکڈونلڈز میں یہ معاہدہ دستیاب نہیں ہے,neu
سحر کا کہنا ہے کہ 50 پر نہیں,neu
بہت مہنگا ہے لیکن شاندار ذائقہ نہیں ہے,neg
مگر ابی تک پیسے صرف 4000 آئے ہیں,neu
عمدہ میں اسے خریدنا چاہتا ہوں,pos
ایک قوم ایک بینک,pos
میں پیپسی والا ایک فون ہے,pos
میں نے ساری زندگی نائکی کی مصنوعات کا استعمال کیا ہے,pos
مجھے ایک پیغام موصول ہوا جس میں اعلان کیا گیا کہ میں نے کمپنی کے ایک فاتح کی رقم جیت لی ہے,pos
جینیسو بیکار ہے,neg
کوئی نائی نے دوبارہ کہا,neu
جب آپ ایبٹ آباد میں اپنا دکان کھولیں,neu
جانوروں پر ظلم کی حوصلہ افزائی کرنا بند کریں,neg
زیادہ پسند نہیں ہے,neg
اس کی اطلاع حکام کو دینی چاہئے کیونکہ یہ تکنیکی طور پر ایک دھوکہ دہی ہے,neg
جناب میرے دوست میری دعوت نامہ قبول کریں کتنے وقت کے بعد مجھے 50 آر ایس ملتے ہیں,neu
کراچی سے جدہ جانے کے لئے کتنی قیمت ہے؟,neu
ڈینم میں کم سے کم سائز؟,neu
یہ موسم سرما میں جمع کرنے والے صارفین عمدہ لگژری سلائی والے جمع کو آن لائن خریداری کرسکتے ہیں,neu
آپ کے بینک میں بہت بری سروسز,neg
دیا ہوا لنک ناقابل رسائ ہے,pos
یہ سودا دوبارہ کب دستیاب ہوگا؟,neu
کیا اس پورے ہفتے تک فروخت ہوگی؟,neu
مبارک ہو میک ڈونلڈ کے طویل عرصے سے لیکن مجھے مبارک 4 سال ہے جب # میک ڈونلڈ ہمارے شہر آئے مجھے اس سے پیار ہے ....,pos
کراچی میں ڈیل سروس سینٹر کہاں ہے؟,neu
ہم 21 دن میں سیئٹل سے دبئی روانہ ہوں گے پرجوش محسوس ہو رہا ہے,pos
جلد ہی سردیوں کا آغاز کرنا میں بےچینی سے انتظار کر رہا ہوں,pos
پہلے ہی رہ رہے ہیں کیا قیصے ایول کر سکتay ہے,neu
ٹیلی نار پیکجوں میں بہترین ہے,pos
میں اپنا بیج کیسے حاصل کرسکتا ہوں ؟؟؟,neu
مجھے رلایا,neu
براہ کرم ابھی چیک کریں کہ کیا یہ بے حسی سم لاگو پیش کش 03107121378 کے اہل ہے یا نہیں,neu
مستقبل میں کوئی رعایت دستیاب ہے؟,neu
پھر بھی یقین نہیں کرسکتا کہ یہ لڑکا اصلی دنیا سے شروع ہوا اور پہلوان بن گیا,neu
آزادکشمیر میں دستیاب ہے,neu
پہنچنے کے لئے آپ کا شکریہ,pos
جیو نمبر 1 چینل نمبر 1 ڈرامہ نمبر 1 شو نمبر 1 پروڈکشن ہے لکس ایوارڈز کیلئے,pos
ان سے بہت متاثر ہوا,pos
an 60 اسٹین اسمتھیوں کے جوڑے کے ل$ + 500 + دینے میں کچھ بھی نہیں مارتا ہے,pos
20 ڈگری پر ابلتے ہوئے ، پیپسی سردیوں کو گرم دیتی ہے,neu
جب آپ موسم سرما کے ذخیرے سے متعلق مضامین کو دوبارہ اسٹاک میں رکھیں گے جو اسٹاک سے باہر ہیں ؟؟؟,neu
عظیم قطر ایئر لائن,pos
ہم آپ کے مزاح سے محبت کرتے ہیں,pos
زبردست مجموعہ کچھ ٹکڑے لینے کا انتظار نہیں کرسکتا,pos
وہ آپ کی طرح لگتا ہے,neu
ایندھن کے اسٹیشنز اییسی پیسہ خریداری کی اجازت نہیں دیتے ہیں,neg
اس کے بہت ہی بی ڈی ڈی ڈی ڈی مینے آج ای سم لی پی جی جی لاگا نی لیگا بیلنس کروایا شو نی ہووا .. چیپ,neg
یاد دہانی! اب اپنا الارم سیٹ کریں,neu
عمدہ مجموعہ نیلم,pos
75 جی بی کا کتنا بینڈل ہے,neu
ویب سائٹ کام نہیں کررہی ہے ... کل سے کوشش کر رہی ہے,neu
یہ حیرت انگیز ہے اور یہ بھی حیرت انگیز ہے کہ لوئس ووٹن نے LOL ایسپورٹس کے ساتھ شراکت کی,pos
بہت اچھے,pos
کسی کو بھی کوشش نہیں کرنی چاہئے,neg
کیا یہ مارجرین تجارتی ہے؟,neu
Yayyy خوش خریداری,pos
لوگو ، یہاں سے نہیں خریدتے ہیں ان کا معیار خراب ہے,neg
بہترین ترتیب کی طرح لگتا ہے ، بہتر ڈائل کریں!,pos
یس مین بال کٹوانے کے بارے میں نہیں جانتے لیکن جوتے اڑ جاتے ہیں,neu
گڈ لک ٹیم پاکستان,pos
hbl عملے پر فخر ہے,pos
براہ کرم ٹرین کو مت روکو ، اسے جانے دو ، براہ کرم یہ سودا جاری رکھیں,neu
میں اسے خریدنے نہیں دوں گا اور اسے پہننے دو کیونکہ میں گرنا نہیں چاہتا ہوں اور جیسے نییمر نے رول کیا تھا,neg
میرا بہترین لینووو سیٹ استعمال,pos
کچھ احترام کا بل دکھائیں,neg
NL کے ذریعے میری پسندیدہ مشہور شخصیات سے ملاقات کریں,pos
ٹھیک ہے لیکن کیوں بہت خراب HP لیپ ٹاپ بیچنا اچھا نہیں ہے اس کو چھپائیں یا اطلاع دیں,neu
ٹکنالوجی مجھے برا نہیں سمجھتی ڈیٹنگ ویب سائٹ,neu
قطر ایئرویز 5 اسٹار ایئر لائن کیوں ہے اس کی ایک اور مثال ...,pos
جہاں خریدنے کی آزادی کا کیٹلاگ ہے,pos
یہ 7 نومبر کو ہوا!,neu
آسے کون کرتہ,neu
